Question Type,Relation,Template
twohop,P27-P495#inverse,What has the country that recognizes {target} as its citizen as its country of origin?
twohop,P27-P527#inverse,What is the country that recognizes {target} as its citizen a part of?
twohop,P27-P6,Who is the head of government of the country that recognizes {target} as its citizen?
twohop,P27-P710#inverse,In which event did the country that recognizes {target} as its citizen participate?
twohop,P30-P527,What part does the continent on which {target} is located have?
twohop,P3373#inverse-P26,Who is the spouse of the person who has {target} as a sibling?
twohop,P3373#inverse-P50#inverse,What did the person who has {target} as a sibling write?
twohop,P3373#inverse-P570,What is the date of death of the person who has {target} as a sibling?
twohop,P361#inverse-P69#inverse,Who studied at the entity that {target} is part of?
twohop,P361-P527,What part does the whole of which {target} is a part have?
twohop,P361-P710,"Which person, group, or organization took part in the whole of which {target} is a part?"
twohop,P403-P206#inverse,What is located in or next to the body of water into which {target} flows?
twohop,P463-P175#inverse,"What did the organization, club, or musical group to which {target} belongs perform?"
twohop,P463-P527,"What part does the organization, club, or musical group to which {target} belongs have?"
twohop,P495-P1336,Which administrative division or entity claims control over the country of origin of {target}?
twohop,P495-P150,What administrative division is contained within the country of origin of {target}?
twohop,P495-P17#inverse,What is located in the country of origin of {target}?
twohop,P495-P172,What is the ethnic group of the country of origin of {target}?
twohop,P495-P205#inverse,What body of water is bordered by the country of origin of {target}?
twohop,P495-P463,"Which organization, club, or musical group does the country of origin of {target} belong to?"
twohop,P495-P6,Who is the head of government of the country of origin of {target}?
twohop,P495-P710#inverse,In which event did the country of origin of {target} participate?
twohop,P50-P170#inverse,What did the author of {target} create?
twohop,P527#inverse-P175#inverse,What did the whole of which {target} is a part perform?
twohop,P527#inverse-P175#inverse,What did the whole of which {target} is a part perform?
twohop,P54#inverse-P569,What is the date of birth of the member of {target}?
twohop,P54-P118,In which league does the sports team that {target} plays for compete?
twohop,P569#inverse-P54,Which sports team does the person who was born on {target} play for?
twohop,P569#inverse-P69,At which educational institution was the person who was born on {target} educated?
twohop,P57#inverse-P161,Who is a cast member of the work that {target} directed?
twohop,P570#inverse-P22,Who is the father of the person who died on {target}?
twohop,P570#inverse-P27,Which country recognizes the person who died on {target} as its citizen?
twohop,P570#inverse-P54,Which sports team does the person who died on {target} play for?
twohop,P570#inverse-P69,At which educational institution was the person who died on {target} educated?
twohop,P570#inverse-P69,At which educational institution was the person who died on {target} educated?
twohop,P571#inverse-P118,In which league does the entity that was established on {target} compete?
twohop,P571#inverse-P150#inverse,Which administrative entity is the entity that was established on {target} a part of?
twohop,P571#inverse-P355#inverse,What subsidiary does the entity that was established on {target} have?
twohop,P577#inverse-P123,Who or what published the work that was published on {target}?
twohop,P577#inverse-P155,What precedes the work that was published on {target}?
twohop,P577#inverse-P161,Who is a cast member of the work that was published on {target}?
twohop,P577#inverse-P175,Who performed the work that was published on {target}?
twohop,P577#inverse-P178,Who or what is the developer of the work that was published on {target}?
twohop,P577#inverse-P264,Which record label released the work that was published on {target}?
twohop,P577#inverse-P272,Which production company produced the work that was published on {target}?
twohop,P577#inverse-P361#inverse,Which entity is part of the work that was published on {target}?
twohop,P577#inverse-P400,On which platform was the work that was published on {target} released?
twohop,P577#inverse-P495,What is the country of origin of the work that was published on {target}?
twohop,P577#inverse-P86,Who is the composer of the work that was published on {target}?
twohop,P58#inverse-P161,Who is a cast member of the work for which {target} wrote the script?
twohop,P580#inverse-P607#inverse,Who participated in the event that began on {target}?
twohop,P6#inverse-P131#inverse,"What is located in the country, state, or municipality that has {target} as its head of government?"
twohop,P6#inverse-P27#inverse,"Who is a citizen of the country, state, or municipality that has {target} as its head of government?"
twohop,P607#inverse-P355#inverse,What subsidiary does the participant of {target} have?
twohop,P607-P276,Where is the military conflict in which {target} participated located?
twohop,P607-P361#inverse,Which entity is part of the military conflict in which {target} participated?
twohop,P706-P131,In which administrative territorial entity is the terrain feature on which {target} is located located?
twohop,P706-P403,Into which body of water does the terrain feature on which {target} is located flow?
twohop,P737#inverse-P50#inverse,What did the entity influenced by {target} write?
twohop,P737-P86#inverse,What did the influencer of {target} compose?
twohop,P740-P19#inverse,Who was born in the location of formation of {target}?
twohop,P749-P17,Which country is the parent organization of {target} located in?
twohop,P800#inverse-P27,Which country recognizes the person who created {target} as a notable work as its citizen?
twohop,P937-P17,Which country is the work location of {target} located in?
